Instar,ProteinType,Replicate,Concentration
second,type1,1,9.454
second,type1,2,9.771
second,type1,3,9.969
second,type1,4,10.528
second,type1,5,10.119
second,type1,6,10.408
second,type1,7,10.137
second,type1,8,9.246
second,type1,9,9.853
second,type1,10,9.523
second,type1,11,10.649
second,type1,12,10.785
second,type1,13,9.922
second,type1,14,10.685
second,type1,15,9.725
second,type1,16,10.139
second,type1,17,10.341
second,type1,18,9.868
second,type1,19,9.768
second,type1,20,9.737
second,type1,21,10.263
second,type1,22,10.660
second,type1,23,10.129
second,type1,24,9.848
second,type1,25,9.971
second,type1,26,9.715
second,type1,27,10.416
third,type1,1,9.454
third,type1,2,9.771
third,type1,3,9.969
third,type1,4,10.528
third,type1,5,10.119
third,type1,6,10.408
third,type1,7,10.137
third,type1,8,9.246
third,type1,9,9.853
third,type1,10,9.523
third,type1,11,10.649
third,type1,12,10.785
third,type1,13,9.922
third,type1,14,10.685
third,type1,15,9.725
third,type1,16,10.139
third,type1,17,10.341
third,type1,18,9.868
third,type1,19,9.768
third,type1,20,9.737
third,type1,21,10.263
third,type1,22,10.660
third,type1,23,10.129
third,type1,24,9.848
third,type1,25,9.971
third,type1,26,9.715
third,type1,27,10.416
third,type1,28,9.189
second,type2,1,13.704
second,type2,2,14.454
second,type2,3,13.469
second,type2,4,15.129
second,type2,5,15.719
second,type2,6,15.562
second,type2,7,13.573
second,type2,8,14.076
second,type2,9,13.72
second,type2,10,14.416
second,type2,11,14.68
second,type2,12,13.847
second,type2,13,13.25
second,type2,14,13.868
second,type2,15,15.498
second,type2,16,14.275
second,type2,17,14.044
second,type2,18,14.382
second,type2,19,14.478
second,type2,20,14.698
second,type2,21,15.326
second,type2,22,14.48
second,type2,23,15.461
second,type2,24,14.482
second,type2,25,13.842
second,type2,26,15.703
second,type2,27,13.285
third,type2,1,15.067
third,type2,2,14.83
third,type2,3,14.099
third,type2,4,14.462
third,type2,5,14.407
third,type2,6,13.919
third,type2,7,14.29
third,type2,8,14.113
third,type2,9,13.696
third,type2,10,15.073
third,type2,11,13.623
third,type2,12,13.752
third,type2,13,13.786
third,type2,14,14.902
third,type2,15,15.147
third,type2,16,13.937
third,type2,17,13.863
third,type2,18,13.305
third,type2,19,14.632
third,type2,20,14.62
third,type2,21,13.512
third,type2,22,15.195
third,type2,23,14.521
third,type2,24,15.505
third,type2,25,14.21
third,type2,26,14.255
third,type2,27,14.854
third,type2,28,13.276
second,type3,1,14.618
second,type3,2,13.336
second,type3,3,13.546
second,type3,4,14.146
second,type3,5,12.813
second,type3,6,13.771
second,type3,7,14.393
second,type3,8,11.735
second,type3,9,13.528
second,type3,10,11.523
second,type3,11,11.756
second,type3,12,11.432
second,type3,13,13.274
second,type3,14,13.96
second,type3,15,12.109
second,type3,16,11.247
second,type3,17,13.57
second,type3,18,14.327
second,type3,19,12.011
second,type3,20,11.693
second,type3,21,14.573
second,type3,22,15.008
second,type3,23,12.932
second,type3,24,11.876
second,type3,25,14.556
second,type3,26,13.93
second,type3,27,13.586
third,type3,1,33.774
third,type3,2,31.529
third,type3,3,34.312
third,type3,4,32.273
third,type3,5,31.14
third,type3,6,31.579
third,type3,7,34.22
third,type3,8,30.924
third,type3,9,32.289
third,type3,10,31.965
third,type3,11,33.016
third,type3,12,32.028
third,type3,13,31.296
third,type3,14,32.455
third,type3,15,32.89
third,type3,16,34.47
third,type3,17,31.643
third,type3,18,34.335
third,type3,19,33.331
third,type3,20,33.548
third,type3,21,33.328
third,type3,22,32.745
third,type3,23,34.04
third,type3,24,30.798
third,type3,25,32.902
third,type3,26,34.683
third,type3,27,31.458
third,type3,28,32.119
second,type4,1,33.064
second,type4,2,33.098
second,type4,3,34.025
second,type4,4,32.963
second,type4,5,33.763
second,type4,6,34.334
second,type4,7,32.543
second,type4,8,35.096
second,type4,9,35.286
second,type4,10,32.558
second,type4,11,34.233
second,type4,12,32.617
second,type4,13,35.693
second,type4,14,35.119
second,type4,15,33.834
second,type4,16,33.528
second,type4,17,33.162
second,type4,18,33.105
second,type4,19,34.466
second,type4,20,34.144
second,type4,21,34.103
second,type4,22,32.73
second,type4,23,32.749
second,type4,24,34.029
second,type4,25,34.837
second,type4,26,35.619
second,type4,27,35.426
third,type4,1,32.613
third,type4,2,34.527
third,type4,3,33.552
third,type4,4,33.522
third,type4,5,35.058
third,type4,6,35.378
third,type4,7,32.92
third,type4,8,34.084
third,type4,9,33.474
third,type4,10,32.67
third,type4,11,33.947
third,type4,12,33.878
third,type4,13,32.903
third,type4,14,33.395
third,type4,15,33.525
third,type4,16,33.811
third,type4,17,33.97
